,quality_score,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Processing Method,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Category Two Defects,Temperature (F)
41,83.08,Brazil,7.42,7.67,7.58,7.5,Natural / Dry,7.75,7.67,10.0,10.0,10.0,7.5,0.11,0,13,77.90873346153846
42,83.08,Brazil,7.58,7.83,7.67,7.42,Washed / Wet,7.42,7.5,10.0,10.0,10.0,7.67,0.0,0,1,77.90873346153846
43,83.0,Brazil,7.58,7.5,7.5,7.75,Natural / Dry,7.67,7.5,10.0,10.0,10.0,7.5,0.0,0,4,77.90873346153846
44,83.0,Brazil,7.5,7.58,7.58,7.67,Natural / Dry,7.58,7.5,10.0,10.0,10.0,7.58,0.11,0,5,77.90873346153846
45,83.0,Brazil,7.5,7.67,7.58,7.67,Natural / Dry,7.58,7.42,10.0,10.0,10.0,7.58,0.11,0,3,77.90873346153846
46,83.0,Brazil,7.67,7.67,7.67,7.5,Natural / Dry,7.42,7.5,10.0,10.0,10.0,7.58,0.0,0,0,77.90873346153846
47,83.0,Brazil,7.75,7.58,7.42,7.67,Semi-washed / Semi-pulped,7.42,7.67,10.0,10.0,10.0,7.5,0.12,0,4,77.90873346153846
48,82.92,Brazil,7.67,7.58,7.5,7.58,Natural / Dry,7.58,7.5,10.0,10.0,10.0,7.5,0.0,0,0,77.90873346153846
49,82.92,Brazil,7.08,7.5,7.5,7.83,Semi-washed / Semi-pulped,7.75,7.67,10.0,10.0,10.0,7.58,0.11,0,16,77.90873346153846
50,82.83,Brazil,7.67,7.58,7.58,7.5,Pulped natural / honey,7.5,7.42,10.0,10.0,10.0,7.58,0.11,0,2,77.90873346153846
51,82.83,Brazil,7.58,7.83,7.33,7.67,Natural / Dry,7.42,7.33,10.0,10.0,10.0,7.67,0.12,2,6,77.90873346153846
52,82.75,Brazil,7.5,7.5,7.58,7.5,Pulped natural / honey,7.58,7.58,10.0,10.0,10.0,7.5,0.11,0,1,77.90873346153846
53,82.67,Brazil,7.5,7.58,7.25,7.75,Natural / Dry,7.58,7.5,10.0,10.0,10.0,7.5,0.0,0,4,77.90873346153846
54,82.67,Brazil,7.5,7.58,7.5,7.67,Natural / Dry,7.5,7.42,10.0,10.0,10.0,7.5,0.11,0,3,77.90873346153846
55,82.67,Brazil,7.58,7.5,7.42,7.67,Natural / Dry,7.5,7.5,10.0,10.0,10.0,7.5,0.0,0,0,77.90873346153846
56,82.67,Brazil,7.33,7.5,7.58,7.58,Natural / Dry,7.67,7.5,10.0,10.0,10.0,7.5,0.12,0,9,77.90873346153846
57,82.58,Brazil,7.5,7.58,7.42,7.5,Pulped natural / honey,7.75,7.33,10.0,10.0,10.0,7.5,0.11,0,7,77.90873346153846
58,82.58,Brazil,7.42,7.42,7.5,7.33,,7.25,7.67,10.0,10.0,10.0,8.0,0.0,1,2,77.90873346153846
59,82.58,Brazil,7.58,7.5,7.33,7.75,,7.5,7.5,10.0,10.0,10.0,7.42,0.0,0,4,77.90873346153846
60,82.5,Brazil,7.5,7.5,7.5,7.5,Natural / Dry,7.58,7.5,10.0,10.0,10.0,7.42,0.11,0,4,77.90873346153846
61,82.5,Brazil,7.42,7.5,7.67,7.33,Semi-washed / Semi-pulped,7.42,7.67,10.0,10.0,10.0,7.5,0.11,0,0,77.90873346153846
62,82.5,Brazil,7.67,7.42,7.33,7.67,Semi-washed / Semi-pulped,7.5,7.5,10.0,10.0,10.0,7.42,0.0,0,4,77.90873346153846
63,82.42,Brazil,7.42,7.5,7.33,7.5,,7.25,7.42,10.0,10.0,10.0,8.0,0.11,0,0,77.90873346153846
64,82.42,Brazil,7.17,7.83,7.33,7.5,Natural / Dry,7.75,7.42,10.0,10.0,10.0,7.42,0.0,0,0,77.90873346153846
65,82.42,Brazil,7.58,7.67,7.33,7.5,Semi-washed / Semi-pulped,7.5,7.42,10.0,10.0,10.0,7.42,0.12,0,1,77.90873346153846
66,82.42,Brazil,7.25,7.33,7.25,7.5,Natural / Dry,7.42,7.5,10.0,10.0,10.0,8.17,0.0,0,0,77.90873346153846
67,82.42,Brazil,7.75,7.5,7.42,7.42,Natural / Dry,7.5,7.42,10.0,10.0,10.0,7.42,0.11,0,2,77.90873346153846
68,82.33,Brazil,7.33,7.5,7.5,7.33,Natural / Dry,7.5,7.5,10.0,10.0,10.0,7.67,0.11,0,11,77.90873346153846
69,82.33,Brazil,7.42,7.42,7.42,7.5,Natural / Dry,7.5,7.58,10.0,10.0,10.0,7.5,0.11,0,14,77.90873346153846
70,82.33,Brazil,7.5,7.5,7.42,7.5,Natural / Dry,7.42,7.5,10.0,10.0,10.0,7.5,0.11,0,3,77.90873346153846
